"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"decLinearProd1.5to0.5","5yr_autocorr","linear",1,"trendER",1,0.6,66436.4421573436,0.813000014955423,65432.7663190631,0.884251419952524,157614.26017917,0.692500126700484,138738.405481384,0.827173506289463,142203.285770311,0.75299368100833,162741.519099946,0.711335380784687,18401.8026604836,81213.1496285115,0.73511955270579,1.36032295198686,81213.1496295115,0.735119552698302,1.36032295200072,28906.5582665645,0.591560162227952,0.591538722815434,0,0,0,1,90364.4054290719,224841.912021365,124485.362558806
"decLinearProd1.5to0.5","5yr_autocorr","linear",1,"trendER",2,0.585,56319.7543078965,0.745429648457881,57409.6375827229,0.758138463848545,140181.508235629,0.628460729577047,127873.341387559,0.794656425163094,131927.647472555,0.689703839335057,139737.806505599,0.628413903563477,16227.7446324982,80304.1395669441,0.646121585616753,1.54769631948676,80304.1395679441,0.646121585609067,1.54769631950517,21274.0082511698,0.587282584736127,0.591175903576588,0,0,0,1,92615.1859551619,218684.911903304,126754.743018526
"decLinearProd1.5to0.5","5yr_autocorr","linear",1,"trendER",3,0.6,65370.8435441594,0.680255004764257,65089.4378031516,0.693888184590729,164535.069190063,0.61907483782152,111798.913995318,0.850640190449567,130176.308417477,0.763769650912376,166518.812046099,0.618861904068571,18004.625129724,89919.6512423359,0.634566338484212,1.5758793672994,89919.6512433359,0.63456633847762,1.57587936731578,27551.0260029077,0.560067461947771,0.587343775315623,0,0,0,1,99028.8803434825,231674.174761573,121606.100815983
"decLinearProd1.5to0.5","5yr_autocorr","linear",1,"trendER",4,0.57,56668.4371950807,0.824455334050177,58124.2407084881,0.86457970791108,156002.428280842,0.754212679439663,106354.996697444,0.941490342258023,127206.829564827,0.833049245907726,160453.176857061,0.760171317328686,11844.560265631,81814.6044451134,0.821504959082365,1.21727810519491,81814.6044461134,0.821504959073251,1.21727810520841,18445.7244857208,0.568003779491184,0.561251768234381,0,0,0,1,109504.699219912,257947.641600759,135201.078585421
"decLinearProd1.5to0.5","5yr_autocorr","linear",1,"trendER",5,0.57,52731.6506259269,0.74791299154484,55559.2846107847,0.766351423426498,130476.4208954,0.688349747341152,125623.941075264,0.768450787095098,131617.116100929,0.663799934885412,126095.586814746,0.700435628742765,10620.5339114887,69068.1759581478,0.755739936228091,1.32320650538995,69068.1759591478,0.755739936218632,1.32320650540652,18359.6498993606,0.597505843609753,0.58377697602721,0,0,0,1,108793.806721754,225220.863206176,111937.896820799
