"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"decLinearProd","10yr_rwa","linear",1,"trendER",1,0.3,122551.256016098,0.538861557579495,120522.538616967,0.563089350351276,186148.626726266,0.515592668773931,152191.293458549,0.631423055440138,169568.266573993,0.601449292728541,179105.455202767,0.530198794357597,94142.5164778654,63055.4961977159,0.855290508386785,1.16919337955259,63055.4961977159,0.855290508386785,1.16919337955259,29477.5606570496,0.283813893044585,0.291269082974506,1,1,0,1,112460.203609861,226989.466454545,113780.005445821
"decLinearProd","10yr_rwa","linear",1,"trendER",2,0.3,117458.554233353,0.470048042002563,119427.836963769,0.489205819358358,190066.627632339,0.499351392935296,164386.968496994,0.637155014053509,186164.078409497,0.595028011547787,189253.117688792,0.509088411132998,72752.1094120118,53635.1870162552,0.791035511704594,1.26416574882348,53635.1870162552,0.791035511704594,1.26416574882348,27220.7602990987,0.315677106169024,0.302286665344232,1,1,0,1,132256.976812176,224252.43858774,108185.34868087
"decLinearProd","10yr_rwa","linear",1,"trendER",3,0.3,115788.816093,0.481586092004611,114573.406882861,0.482041789008306,187973.836721724,0.472146598990333,143401.187213475,0.72517817339963,149066.951081345,0.6945760126738,183471.423419106,0.473183616040783,90452.4492620898,61541.8053555467,0.57725201522787,1.73234561962551,61541.8053555467,0.57725201522787,1.73234561962551,35232.368130102,0.322124885915207,0.33536702357231,1,1,0,1,119007.972768154,249128.805332818,118393.84591954
"decLinearProd","10yr_rwa","linear",1,"trendER",4,0.3,112036.118465414,0.531571588873638,103341.983796498,0.531573652468768,177653.274112246,0.51438402883193,158236.808811062,0.665778899029004,170944.647411489,0.612775704976434,178644.981300662,0.52196762107071,66068.1716369393,53547.1861903783,0.668325149865781,1.49627767292736,53547.1861903783,0.668325149865781,1.49627767292736,25350.8085301111,0.31193612208173,0.314454933410388,0,0,0,1,140308.077768832,262468.338344322,113740.059058668
"decLinearProd","10yr_rwa","linear",1,"trendER",5,0.3,99916.1839066205,0.464216022671496,95105.8345843076,0.494788094686523,160057.240034783,0.480835822168492,164525.810626687,0.490307413557504,177817.050850891,0.471556800155339,166800.185394824,0.49627286367317,77218.6535493727,48023.7869111074,0.733124093030304,1.36402555789237,48023.7869111074,0.733124093030304,1.36402555789237,21752.7144761093,0.301850411438028,0.296618102151832,1,1,0,1,115448.611421981,251374.334518765,111077.087936978
"decLinearProd","10yr_rwa","linear",1,"trendER",6,0.3,114410.473042448,0.368634232804845,111262.333506566,0.37741603602454,168091.392934043,0.417259605748719,142980.783328448,0.594897789778929,153218.634742562,0.581140739447282,165792.863468632,0.431403846677317,63505.2445210539,47793.6589273082,0.763138753121841,1.31037769463182,47793.6589273082,0.763138753121841,1.31037769463182,19065.9907315324,0.273484521271347,0.287311305218441,1,1,0,1,114733.562138574,201845.162948237,99225.3429810605
"decLinearProd","10yr_rwa","linear",1,"trendER",7,0.3,130408.295059084,0.536397368818551,126607.795458868,0.550862948617502,196020.9188233,0.55800188627789,181495.981897842,0.649482588061968,191836.675510365,0.620337541100882,194786.642820075,0.568988507056368,75629.432417321,60651.6397175833,0.718316354146622,1.39214427491077,60651.6397175833,0.718316354146622,1.39214427491077,31607.6342365416,0.34524524938164,0.338595015455661,1,1,0,1,163887.052722295,359223.663170183,105917.561335608
"decLinearProd","10yr_rwa","linear",1,"trendER",8,0.3,108553.2972963,0.538280585043772,105197.843429457,0.542013154552589,173156.380098462,0.513048198487391,152605.263199812,0.586030605622313,161452.830961665,0.515243294300076,161977.830542364,0.507468233344609,92432.1826984467,51866.6259227545,0.765913547242204,1.30563038557114,51866.6259227545,0.765913547242204,1.30563038557114,30182.3425167902,0.290228066659265,0.293369116456506,0,1,0,1,118892.138520247,215487.4470052,90646.9787311203
"decLinearProd","10yr_rwa","linear",1,"trendER",9,0.3,113514.715839769,0.444406238008553,110109.894888794,0.448072038257429,174204.422154897,0.459122792260566,137274.17430702,0.684671643125544,146283.025430067,0.658537666349542,165072.229685578,0.463360289719276,71832.7226198789,48311.5054632383,0.661715427414746,1.51122364474242,48311.5054632383,0.661715427414746,1.51122364474242,26783.6070125126,0.319005564166058,0.330225593055609,1,1,0,1,124652.457639327,245683.543138732,91712.8205517391
"decLinearProd","10yr_rwa","linear",1,"trendER",10,0.3,103652.207098141,0.43463381273202,103171.251409665,0.448952825096464,161269.845796109,0.46825806718194,137072.548075921,0.593820432343273,143934.836747782,0.575881016663506,155166.460365305,0.476459946544393,70848.0924558543,54075.1832092044,0.615782777967159,1.62394928176009,54075.1832092044,0.615782777967159,1.62394928176009,25499.0595644183,0.298466396036445,0.309467419150436,0,1,0,1,128116.330790356,211391.446534457,67141.4752741854
