"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"decLinearcap0.25","5yr_rwa","linear",1,"trendER",1,0.6,68302.1206257833,0.657692264820439,74185.1136589678,0.739611510928938,177404.823805853,0.506797430688399,140881.765918786,0.620491757820716,149899.554872631,0.55256156775406,176460.57851319,0.530407416823522,38273.7795429547,98141.7345409987,0.540201360434458,1.85116157278047,98141.7345419987,0.540201360429401,1.8511615727978,59725.3391999266,0.59973567843832,0.596555447183097,0,1,0,1,86208.8083749522,212486.859660427,116664.544694004
"decLinearcap0.25","5yr_rwa","linear",1,"trendER",2,0.6,58698.4609583373,0.591720003244739,60960.4283272141,0.605457807602177,165094.114262608,0.45660645859566,145277.510618008,0.595411528925332,151709.362392166,0.545513952608169,159751.51221638,0.456786982977209,38594.7943654894,94879.2886944722,0.475034364686257,2.10511086005423,94879.2886954722,0.475034364681213,2.10511086007658,57883.5490401414,0.596986751277702,0.607075050346414,0,1,0,1,90006.3635973972,207283.751871873,117277.388274476
"decLinearcap0.25","5yr_rwa","linear",1,"trendER",3,0.6,69740.3051242345,0.51044993817707,71270.0692153313,0.531350931213484,163761.670072858,0.41337107391386,135272.870398264,0.659112079060871,148490.794825101,0.611864286102696,162500.669320659,0.416897671904624,49819.1276680847,89937.142326745,0.438017072073301,2.28301603694719,89937.142327745,0.438017072069105,2.28301603696906,72775.9222781057,0.573085273880326,0.592437837024724,0,1,0,1,97402.8781922491,228361.035997563,119867.029609759
"decLinearcap0.25","5yr_rwa","linear",1,"trendER",4,0.57,56296.1359648809,0.662445545862825,57787.2096335345,0.705542168831275,153127.133001151,0.552960776499236,132260.869765347,0.696935792845738,142340.232187017,0.644533675297301,147668.527683591,0.562867135885711,33981.6654331778,89542.1123330972,0.614410603407415,1.62757607771444,89542.1123340972,0.614410603401208,1.62757607773088,48261.0296351408,0.568003779491184,0.561251768234295,0,1,0,1,99930.3388497938,233970.326532835,123379.99822972
"decLinearcap0.25","5yr_rwa","linear",1,"trendER",5,0.57,56870.044818367,0.593237338118721,53275.1696510668,0.603461429964559,132457.747040536,0.484395496553828,138800.029079414,0.513478814370027,155093.628441394,0.488327757668906,129412.590628128,0.493744890330428,34251.9172813421,76913.7892855935,0.530224140558274,1.88599485294483,76913.7892865935,0.530224140552347,1.88599485296591,57323.3746919605,0.601342849002213,0.590784577005534,0,1,0,1,95960.5699072838,202899.611876431,104657.583020391
