"year","iteration","sAg","ppnCUsLowerBM"
4,"18",216763.005780347,NA
4,"19",216763.005780347,NA
4,"20",216763.005780347,NA
5,"1",216763.005780347,NA
5,"2",216763.005780347,NA
5,"3",216763.005780347,NA
5,"4",216763.005780347,NA
5,"5",216763.005780347,NA
5,"6",216763.005780347,NA
5,"7",216763.005780347,NA
5,"8",216763.005780347,NA
5,"9",216763.005780347,NA
5,"10",216763.005780347,NA
5,"11",216763.005780347,NA
5,"12",216763.005780347,NA
5,"13",216763.005780347,NA
5,"14",216763.005780347,NA
5,"15",216763.005780347,NA
5,"16",216763.005780347,NA
5,"17",216763.005780347,NA
5,"18",216763.005780347,NA
5,"19",216763.005780347,NA
5,"20",216763.005780347,NA
6,"1",216763.005780347,NA
6,"2",216763.005780347,NA
6,"3",216763.005780347,NA
6,"4",216763.005780347,NA
6,"5",216763.005780347,NA
6,"6",216763.005780347,NA
6,"7",216763.005780347,NA
6,"8",216763.005780347,NA
6,"9",216763.005780347,NA
6,"10",216763.005780347,NA
6,"11",216763.005780347,NA
6,"12",216763.005780347,NA
6,"13",216763.005780347,NA
6,"14",216763.005780347,NA
6,"15",216763.005780347,NA
6,"16",216763.005780347,NA
6,"17",216763.005780347,NA
6,"18",216763.005780347,NA
6,"19",216763.005780347,NA
6,"20",216763.005780347,NA
7,"1",67506.3388394331,NA
7,"2",82135.0533226585,NA
7,"3",69001.6151541373,NA
7,"4",94947.9142912505,NA
7,"5",58887.7139226238,NA
7,"6",105602.657324081,NA
7,"7",73981.9525475392,NA
7,"8",115579.095236454,NA
7,"9",98183.2040208984,NA
7,"10",84460.8888711949,NA
7,"11",150638.320176163,NA
7,"12",74053.6019039216,NA
7,"13",196709.834995172,NA
7,"14",69934.8312445077,NA
7,"15",243684.036421489,NA
7,"16",188312.352152201,NA
7,"17",98520.4659629705,NA
7,"18",115460.451541651,NA
7,"19",88672.7033068176,NA
7,"20",121667.318774678,NA
8,"1",89534.410370435,NA
8,"2",118516.443895151,NA
8,"3",115427.906715756,NA
8,"4",173237.678107117,NA
8,"5",87411.1937414466,NA
8,"6",150321.398632477,NA
8,"7",160743.141797346,NA
8,"8",199402.766262582,NA
8,"9",92315.3207410022,NA
8,"10",61647.5629248766,NA
8,"11",89182.6713937468,NA
8,"12",128010.241419772,NA
8,"13",135336.567548142,NA
8,"14",105500.964603976,NA
8,"15",142416.898346708,NA
8,"16",188679.671376109,NA
8,"17",81897.4366432069,NA
8,"18",153543.579301816,NA
8,"19",164334.760205307,NA
8,"20",159879.654136644,NA
9,"1",86664.1116283461,NA
9,"2",120630.521183395,NA
9,"3",158022.92451306,NA
9,"4",159675.265770938,NA
9,"5",108594.453185156,NA
9,"6",147323.662620108,NA
9,"7",126316.916114244,NA
9,"8",115306.921453929,NA
9,"9",158347.57963747,NA
9,"10",100487.673437787,NA
9,"11",261485.007990524,NA
9,"12",109836.865516467,NA
9,"13",205001.550700195,NA
9,"14",83372.826925045,NA
9,"15",85323.600551302,NA
9,"16",251456.357302513,NA
9,"17",112155.945475662,NA
9,"18",172463.282949235,NA
9,"19",93541.5727543323,NA
9,"20",175424.137312795,NA
10,"1",94530.4616744997,NA
10,"2",122082.632332671,NA
10,"3",192232.358687168,NA
10,"4",80313.0830089964,NA
10,"5",84887.2838472664,NA
10,"6",86515.0335694013,NA
10,"7",162913.616731449,NA
10,"8",248101.264740702,NA
10,"9",145262.231544723,NA
10,"10",71716.1702431258,NA
10,"11",139637.44298164,NA
10,"12",106487.309499492,NA
10,"13",160419.062537356,NA
10,"14",112181.589361373,NA
10,"15",170492.226897024,NA
10,"16",170689.117736583,NA
10,"17",137242.679229196,NA
10,"18",212787.891760365,NA
10,"19",162115.510996312,NA
10,"20",268572.36024098,NA
11,"1",193889.939222895,NA
11,"2",100413.305176321,NA
11,"3",274151.338171642,NA
11,"4",105995.078233858,NA
11,"5",80824.2648488224,NA
11,"6",101155.562318667,NA
11,"7",48825.24723474,NA
11,"8",208700.902823294,NA
11,"9",215136.526104281,NA
11,"10",81859.0508188834,NA
11,"11",77095.7038264242,NA
11,"12",223575.306185124,NA
11,"13",208893.086387478,NA
11,"14",65151.8175578213,NA
11,"15",168776.368277666,NA
11,"16",234505.34379079,NA
11,"17",161272.539624865,NA
11,"18",115938.113845766,NA
11,"19",147208.371537677,NA
11,"20",232833.445659351,NA
12,"1",143180.298635857,NA
12,"2",179148.18795183,NA
12,"3",119287.007054154,NA
12,"4",74778.7792589504,NA
12,"5",138013.652045661,NA
12,"6",56550.4189634093,NA
12,"7",186600.634235421,NA
12,"8",132797.471072681,NA
12,"9",115262.915826663,NA
12,"10",104873.198432154,NA
12,"11",120690.187631865,NA
12,"12",89365.3256011672,NA
12,"13",136040.523545078,NA
12,"14",177006.797626636,NA
12,"15",159017.46241189,NA
