"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"decLinearProd1.5to0.5","10yr_autocorr","linear",1,"trendER",1,0.6,66436.4421573436,0.813000014955423,65432.7663190631,0.884251419952524,157614.26017917,0.692500126700484,138738.405481384,0.827173506289463,142203.285770311,0.75299368100833,162741.519099946,0.711335380784687,18401.8026604836,81213.1496285115,0.73511955270579,1.36032295198686,81213.1496295115,0.735119552698302,1.36032295200072,28906.5582665645,0.591560162227952,0.591538722815434,0,0,0,1,90364.4054290719,224841.912021365,124485.362558806
"decLinearProd1.5to0.5","10yr_autocorr","linear",1,"trendER",2,0.585,56319.7543078965,0.745429648457881,57409.6375827229,0.758138463848545,140181.508235629,0.628460729577047,127873.341387559,0.794656425163094,131927.647472555,0.689703839335057,139737.806505599,0.628413903563477,16227.7446324982,80304.1395669441,0.646121585616753,1.54769631948676,80304.1395679441,0.646121585609067,1.54769631950517,21274.0082511698,0.587282584736127,0.591175903576588,0,0,0,1,92615.1859551619,218684.911903304,126754.743018526
"decLinearProd1.5to0.5","10yr_autocorr","linear",1,"trendER",3,0.6,65377.4937883875,0.678907301255411,65095.8371913938,0.690747446782836,165386.245879129,0.620869974863673,112166.830414186,0.85369232077063,130997.424073658,0.76571237702261,167382.191510906,0.61992646935802,18019.4625094567,89312.2531900624,0.638295139441422,1.56667337444416,89312.2531910624,0.638295139434807,1.5666733744604,27573.7406987193,0.560067461947771,0.587343775315619,0,0,0,1,99028.8803434825,231674.174761573,121606.100815983
"decLinearProd1.5to0.5","10yr_autocorr","linear",1,"trendER",4,0.57,56586.0685890442,0.829718484240409,57967.8919977836,0.870333975789722,154919.865659177,0.754982822106427,106353.308974639,0.942205774166982,126993.227518911,0.833827032111244,159340.173095655,0.760974507729188,11832.3225238786,81553.3463627559,0.820215518972324,1.21919175737242,81553.3463637558,0.820215518963197,1.21919175738599,18425.2534369586,0.569025367359135,0.561251768234411,0,0,0,1,109398.360058061,257710.771767994,134638.387358154
"decLinearProd1.5to0.5","10yr_autocorr","linear",1,"trendER",5,0.57,53140.618851381,0.747044833648289,55539.9961131621,0.766851365793558,130698.247538355,0.692525624208026,125472.530488289,0.76985724421842,131364.175281943,0.665575104881901,124741.710997192,0.704884020887335,10617.2573124006,68665.756502712,0.767860679160759,1.30231958366843,68665.7565037119,0.767860679151178,1.30231958368468,18352.5520599777,0.589570763706184,0.583776976027226,0,0,0,1,111405.088110037,229735.043660066,108430.793940817
