scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,finalCanER,ERStartYear,EREndYear,usER,cvERSMU,propMixHigh,singleHCR,moveTAC,prodRegime,prodPpnChange,prodTrendLength,prodStartYear,prodEndYear,prodRegimeLen,ampSinProd,sinCycleLen,capRegime,capPpnChange,capTrendLength,capStartYear,capEndYear,capRegimeLen,sigRegime,sigShiftYear,rho,arSigTransform,biasCor,correlCU,corrMat,sampCU_coef1,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,agePpnConst,rCap,assessType,assessFreq,ERfeedbackAdj,normPeriod
decLinearProd_10yr_simple,decLinearProd,10yr_simple,prodRegime,1,chinook,50,trendER,stockRecruit,0.5,0.22,1,15,0.08,0,1,retro,FALSE,linear,0.44,50,15,40,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,default,10,0.5,FALSE
decLinearProd_5yr_simple,decLinearProd,5yr_simple,prodRegime,1,chinook,50,trendER,stockRecruit,0.5,0.22,1,15,0.08,0,1,retro,FALSE,linear,0.44,50,15,40,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,default,5,0.5,FALSE
decLinearProd_10yr_rwa,decLinearProd,10yr_rwa,prodRegime,1,chinook,50,trendER,stockRecruit,0.5,0.22,1,15,0.08,0,1,retro,FALSE,linear,0.44,50,15,40,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,rwa,10,0.5,FALSE
decLinearProd_5yr_rwa,decLinearProd,5yr_rwa,prodRegime,1,chinook,50,trendER,stockRecruit,0.5,0.22,1,15,0.08,0,1,retro,FALSE,linear,0.44,50,15,40,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,rwa,5,0.5,FALSE
