"year","iteration","sAg","ppnCUsLowerBM"
16,"1",83930.5170175797,NA
16,"2",110883.926922708,NA
16,"3",174770.449305995,NA
16,"4",37629.7826583095,NA
16,"5",57729.7456721723,NA
17,"1",45155.4519847427,NA
17,"2",80131.6655735747,NA
17,"3",79259.8117697631,NA
17,"4",48779.1600799891,NA
17,"5",130848.491144937,NA
18,"1",45609.8011803235,NA
18,"2",132774.14628249,NA
18,"3",53557.9220004329,NA
18,"4",57137.5539991969,NA
18,"5",74469.1504106263,NA
19,"1",95811.6019087621,NA
19,"2",122375.313284284,NA
19,"3",23465.6760922966,NA
19,"4",110687.151661061,NA
19,"5",140112.656761895,NA
20,"1",100773.944464771,NA
20,"2",71920.0589865758,NA
20,"3",50379.1775679231,NA
20,"4",99347.02370769,NA
20,"5",123645.490302395,NA
21,"1",82309.0539542766,NA
21,"2",97949.8876790231,NA
21,"3",27365.5195938754,NA
21,"4",116006.558939381,NA
21,"5",152971.344579628,NA
22,"1",50664.2422859772,NA
22,"2",105886.489686531,NA
22,"3",38637.3588952155,NA
22,"4",65258.477320329,NA
22,"5",83121.1498856477,NA
23,"1",70962.613515934,NA
23,"2",113012.606372337,NA
23,"3",28406.8400256743,NA
23,"4",31623.7015174637,NA
23,"5",167914.057206273,NA
24,"1",89149.1150947807,NA
24,"2",92903.7944193141,NA
24,"3",52053.7880287068,NA
24,"4",34700.8777917825,NA
24,"5",244499.004920867,NA
25,"1",55194.679982242,NA
25,"2",53140.3881931528,NA
25,"3",31486.5752876214,NA
25,"4",37267.5387072724,NA
25,"5",221503.859895466,NA
26,"1",45746.1319201835,NA
26,"2",57402.3398536203,NA
26,"3",76121.4442266625,NA
26,"4",38756.535824325,NA
26,"5",162439.878601639,NA
27,"1",47832.3123113624,NA
27,"2",63090.7128537695,NA
27,"3",55386.2120252822,NA
27,"4",45514.7463936366,NA
27,"5",267853.676353013,NA
28,"1",48253.5203042332,NA
28,"2",85205.9936363119,NA
28,"3",64214.5111215249,NA
28,"4",55632.3280314412,NA
28,"5",278040.101529732,NA
29,"1",47117.4364207044,NA
29,"2",78379.4462985092,NA
29,"3",97354.8520174469,NA
29,"4",59676.6342309103,NA
29,"5",200791.225319903,NA
30,"1",19621.0041293547,NA
30,"2",144255.101601495,NA
30,"3",142483.981989096,NA
30,"4",76525.1495283439,NA
30,"5",126200.907939377,NA
31,"1",51303.4579730791,NA
31,"2",123996.588345503,NA
31,"3",90012.8452944067,NA
31,"4",28014.7050433659,NA
31,"5",64701.5526343974,NA
32,"1",40241.6302374729,NA
32,"2",127739.367511871,NA
32,"3",104478.572583619,NA
32,"4",22720.5392156229,NA
32,"5",47934.6668765599,NA
33,"1",89742.1667353649,NA
33,"2",110776.421113615,NA
33,"3",77146.5773177646,NA
33,"4",54140.5435936781,NA
33,"5",77680.6445713504,NA
34,"1",69125.8414545298,NA
34,"2",151069.582088395,NA
34,"3",77680.4386550511,NA
34,"4",15907.9030588739,NA
34,"5",216559.516258251,NA
35,"1",68340.2449295961,NA
35,"2",100797.154993211,NA
35,"3",65315.366758372,NA
35,"4",18891.1327800339,NA
35,"5",71776.4960112174,NA
36,"1",128400.584459779,NA
36,"2",71287.8442726254,NA
36,"3",80726.1149841409,NA
36,"4",22660.1086355387,NA
36,"5",59984.7169841225,NA
37,"1",64877.7852686075,NA
37,"2",64484.4431885276,NA
37,"3",59694.7201018489,NA
37,"4",17187.7944440117,NA
37,"5",44561.0171947128,NA
38,"1",68066.0940467694,NA
38,"2",154144.177520327,NA
38,"3",75263.6485353751,NA
38,"4",15386.3501222686,NA
38,"5",145996.698957519,NA
39,"1",151827.196054493,NA
39,"2",95461.3571974046,NA
39,"3",65092.2972843568,NA
39,"4",17791.2307599845,NA
39,"5",81889.3341421505,NA
40,"1",62919.0531416616,NA
40,"2",137937.44557592,NA
40,"3",77331.4147508277,NA
40,"4",43235.4193015152,NA
40,"5",71988.736467922,NA
41,"1",35572.5723812551,NA
41,"2",166986.001062345,NA
41,"3",75973.7099198708,NA
41,"4",30320.0165571388,NA
41,"5",140780.145630224,NA
42,"1",73643.9660878538,NA
42,"2",135462.364699298,NA
42,"3",63572.0109560004,NA
42,"4",20693.6320166439,NA
42,"5",84900.3027862326,NA
43,"1",43009.6508283816,NA
43,"2",106825.395108655,NA
43,"3",118295.250743182,NA
43,"4",41953.0459968929,NA
43,"5",102438.742080698,NA
44,"1",57590.6765225699,NA
44,"2",134663.938390777,NA
44,"3",99489.9678063265,NA
44,"4",23437.4547022495,NA
44,"5",112002.533881553,NA
45,"1",75887.0437848814,NA
45,"2",236015.952478444,NA
45,"3",76118.8512089755,NA
45,"4",61434.7636569168,NA
45,"5",65255.6831214779,NA
46,"1",64892.3544020509,NA
46,"2",129290.811444419,NA
46,"3",78491.5963554811,NA
46,"4",97155.9010989994,NA
46,"5",71998.8307585305,NA
47,"1",41681.2716776278,NA
47,"2",124028.971048414,NA
47,"3",52767.5482066023,NA
47,"4",191808.823237059,NA
47,"5",42369.1374623991,NA
48,"1",47209.1734261146,NA
48,"2",115565.576428441,NA
48,"3",91481.2482679518,NA
48,"4",134184.067016749,NA
48,"5",56930.7038296594,NA
49,"1",82318.3042084421,NA
49,"2",43622.8215243239,NA
49,"3",108225.664331703,NA
49,"4",71254.8699463458,NA
49,"5",54066.354727795,NA
50,"1",91189.2711634325,NA
50,"2",66760.8302509864,NA
50,"3",65129.2026338252,NA
50,"4",73585.1805698829,NA
50,"5",43723.3325881485,NA
51,"1",170836.350013926,1
51,"2",53608.7285528729,1
51,"3",113376.40581954,1
51,"4",33533.9261492055,1
51,"5",67635.6388226936,1
52,"1",359525.265951709,1
52,"2",107764.646488865,1
52,"3",87818.5893018066,1
52,"4",115583.042256576,1
52,"5",81939.566009955,1
53,"1",108805.805550158,1
53,"2",164114.223841946,1
53,"3",52572.4512205771,1
53,"4",71135.8362490102,1
53,"5",100726.281473369,1
54,"1",113496.282434746,1
54,"2",237062.429764217,1
54,"3",35970.6931511311,1
54,"4",65378.3341189769,1
54,"5",57354.9373930776,1
55,"1",74203.3763149358,1
55,"2",98250.5556606545,1
55,"3",56283.2295528757,1
55,"4",41838.1090243343,1
55,"5",83094.3906011299,1
56,"1",25879.1156231716,1
56,"2",106302.250325228,1
56,"3",78457.2374258754,1
56,"4",162587.950556397,1
56,"5",171863.968661901,1
57,"1",71630.4152175678,1
57,"2",97870.7140582508,1
57,"3",74934.0557464934,1
57,"4",168758.808842871,1
57,"5",65384.3581238513,1
58,"1",115406.583157783,1
58,"2",103285.063196974,1
58,"3",84569.4573821554,1
58,"4",138089.763491425,1
58,"5",130858.946251206,1
59,"1",83070.7250131999,1
59,"2",67024.103276292,1
59,"3",32835.919464113,1
59,"4",109179.888085045,1
59,"5",63496.6623765401,1
60,"1",120481.379720538,1
60,"2",186486.382020609,1
60,"3",96464.920255937,1
60,"4",109091.71152015,1
60,"5",166297.729666429,1
61,"1",78527.9871318324,1
61,"2",85668.8765740526,1
61,"3",46897.8081157947,1
61,"4",221500.075217522,1
61,"5",59146.6780160917,1
62,"1",125975.578634473,1
62,"2",54109.5208107764,1
62,"3",159003.667929662,1
62,"4",145099.142447167,1
62,"5",117731.259258049,1
63,"1",119558.369465179,1
63,"2",34600.7031663217,1
63,"3",131029.326143938,1
63,"4",168659.454296251,1
63,"5",116826.37223738,1
64,"1",216234.079055934,1
64,"2",96790.5042112023,1
64,"3",109270.938805401,1
64,"4",98024.133824237,1
64,"5",131976.907148222,1
65,"1",79061.2528375098,1
65,"2",35373.0885036688,1
65,"3",199097.713902813,1
65,"4",141326.133802016,1
65,"5",59273.3780020163,1
66,"1",213593.203704011,1
66,"2",116375.363057616,1
66,"3",108552.090761679,1
66,"4",89488.7195086118,1
66,"5",41447.3500855368,1
67,"1",146028.177313033,1
67,"2",40130.3788942992,1
67,"3",101504.392393355,1
67,"4",76792.8383417332,1
67,"5",84160.2346466727,1
68,"1",146181.276783355,1
68,"2",9996.56583045187,0
68,"3",191756.246618778,1
68,"4",61748.1119306064,1
68,"5",36395.0492917758,1
69,"1",105038.501446207,1
69,"2",68843.5423694138,1
69,"3",190392.10709159,1
69,"4",76521.2524528533,1
69,"5",34767.1502108835,1
70,"1",115001.985816544,1
70,"2",53493.9514201207,1
70,"3",109484.65247945,1
70,"4",70472.9016447408,1
70,"5",55022.4018204369,1
71,"1",225316.201806969,1
71,"2",113219.566503501,1
71,"3",94624.0494038388,1
71,"4",67555.3034726872,1
71,"5",81953.0085678604,1
72,"1",107936.004815926,1
72,"2",105272.68057314,1
72,"3",52661.9411014095,1
72,"4",48428.3482465576,1
72,"5",35265.2507379513,1
73,"1",175366.381364085,1
73,"2",105351.557376329,1
73,"3",178113.787651531,1
73,"4",52113.7337838622,1
73,"5",111004.896595245,1
74,"1",66732.7772523782,1
74,"2",57149.3751932813,1
74,"3",113493.549699005,1
74,"4",67177.3693044393,1
74,"5",66361.6357025747,1
75,"1",100081.143056124,1
75,"2",86261.5882568003,1
75,"3",91209.7297865942,1
75,"4",124957.184192218,1
75,"5",56825.3710075378,1
76,"1",103812.41218971,1
76,"2",59787.3305190648,1
76,"3",126658.386825164,1
76,"4",106013.88643445,1
76,"5",118198.509743314,1
77,"1",227942.574757152,1
77,"2",151010.821583239,1
77,"3",62869.5557461307,1
77,"4",88226.1154635443,1
77,"5",129722.008147443,1
78,"1",268222.445162105,1
78,"2",190463.973492006,1
78,"3",189262.216440367,1
78,"4",102019.975543954,1
78,"5",75017.6062712143,1
79,"1",150520.209488903,1
79,"2",134108.10569761,1
79,"3",189187.991698335,1
79,"4",435591.804854178,1
79,"5",100498.55128562,1
80,"1",157436.87383596,1
80,"2",107192.495318799,1
80,"3",78860.4675710829,1
80,"4",211159.863016142,1
80,"5",89678.53339687,1
81,"1",38993.7818590532,1
81,"2",209123.200895552,1
81,"3",200971.220921668,1
81,"4",56645.3558999547,1
81,"5",193041.330485876,1
82,"1",62721.5666491987,1
82,"2",62354.618400453,1
82,"3",126854.137474234,1
82,"4",88036.9353419737,1
82,"5",272526.255593899,1
83,"1",58559.3456451376,1
83,"2",137894.833361341,1
83,"3",85476.3334223911,1
83,"4",44569.635513939,1
83,"5",71952.3921736277,1
84,"1",49819.4730800848,1
84,"2",131557.857551512,1
84,"3",152558.107190627,1
84,"4",77320.8585139361,1
84,"5",140094.87352924,1
85,"1",55216.41055817,1
85,"2",85619.1145277123,1
85,"3",83869.202899564,1
85,"4",78132.455026859,1
85,"5",149436.869033003,1
86,"1",118074.720864604,1
86,"2",126799.098933177,1
86,"3",170629.360411559,1
86,"4",51992.7363169288,1
86,"5",10178.3411873002,0
87,"1",107433.458331521,1
87,"2",47677.3182737373,1
87,"3",171895.280622312,1
87,"4",74753.6625628964,1
87,"5",90191.2631801979,1
88,"1",134306.374201798,1
88,"2",85883.5340749699,1
88,"3",74260.8425519978,1
88,"4",62566.8506104082,1
88,"5",106090.980048225,1
89,"1",73927.4817109715,1
89,"2",108368.087836701,1
89,"3",129618.018001841,1
89,"4",50733.3326807321,1
89,"5",59278.1607086661,1
90,"1",56054.0118026305,1
90,"2",60397.4562191725,1
90,"3",114802.033194464,1
90,"4",58246.3978105074,1
90,"5",92921.0759244995,1
91,"1",111220.264004354,1
91,"2",109677.558444141,1
91,"3",66052.4603363449,1
91,"4",180925.614138899,1
91,"5",53251.8593869544,1
92,"1",77855.8715142482,1
92,"2",38603.812347764,1
92,"3",131409.988189036,1
92,"4",29378.9207109524,1
92,"5",66764.0323829993,1
93,"1",67020.8342919926,1
93,"2",70378.5005449136,1
93,"3",72567.3388032304,1
93,"4",99366.3665660744,1
93,"5",76943.2767812934,1
94,"1",262873.764759433,1
94,"2",134547.417117312,1
94,"3",82365.4484575517,1
94,"4",122630.255799171,1
94,"5",80853.5062026391,1
95,"1",106834.343625353,1
95,"2",122359.848911782,1
95,"3",74170.0425017666,1
95,"4",35129.036378632,1
95,"5",86190.2803652536,1
96,"1",456188.113755959,1
96,"2",45136.6594786317,1
96,"3",129469.218115179,1
96,"4",37264.2739956061,1
96,"5",65454.7864452679,1
97,"1",110207.735383039,1
97,"2",60620.5757595015,1
97,"3",158869.212635397,1
97,"4",87095.9746633049,1
97,"5",37375.8296804323,1
98,"1",71498.4242026679,1
98,"2",73021.5386271086,1
98,"3",45847.366212108,1
98,"4",55262.7543316113,1
98,"5",74579.7296604287,1
99,"1",112537.58318719,1
99,"2",100124.04622196,1
99,"3",170003.751188689,1
99,"4",21674.0234375183,0
99,"5",51635.9243564474,1
100,"1",71324.8264882721,1
100,"2",48447.0876434461,1
100,"3",348402.91098483,1
100,"4",41734.2720499455,1
100,"5",71327.2278483156,1
