"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"decLinearProd","5yr_simple","linear",1,"trendER",1,0.3,122551.050070138,0.535008072236488,120522.538616967,0.55905756939612,186263.607348169,0.51487625500364,152191.293458549,0.630197052523711,169597.975860139,0.599931986479178,179166.167001848,0.529318218123204,94226.9041888097,63143.1322444417,0.847984285836793,1.17926713584462,63143.1322444417,0.847984285836793,1.17926713584462,29493.849677632,0.284907342947109,0.295007025599967,1,1,0,1,112460.203609861,226989.466454545,113780.005445821
"decLinearProd","5yr_simple","linear",1,"trendER",2,0.3,117458.554233353,0.470048042002563,119427.836963769,0.489205819358358,190066.627632339,0.499351392935296,164386.968496994,0.637155014053509,186164.078409497,0.595028011547787,189253.117688792,0.509088411132998,72752.1094120118,53635.1870162552,0.791035511704594,1.26416574882348,53635.1870162552,0.791035511704594,1.26416574882348,27220.7602990987,0.315677106169024,0.302286665344232,1,1,0,1,132256.976812176,224252.43858774,108185.34868087
"decLinearProd","5yr_simple","linear",1,"trendER",3,0.3,115788.816093,0.481586092004611,114573.406882861,0.482041789008306,187973.836721724,0.472146598990333,143401.187213475,0.72517817339963,149066.951081345,0.6945760126738,183471.423419106,0.473183616040783,90452.4492620898,61541.8053555467,0.57725201522787,1.73234561962551,61541.8053555467,0.57725201522787,1.73234561962551,35232.368130102,0.322124885915207,0.33536702357231,1,1,0,1,119007.972768154,249128.805332818,118393.84591954
"decLinearProd","5yr_simple","linear",1,"trendER",4,0.3,112036.118465414,0.527694460337064,103341.983796498,0.527822738391749,177653.274112246,0.513107912485319,158236.808811062,0.664003999859658,170418.658597917,0.612311259149451,178644.981300662,0.521088245337485,66515.878120431,53547.1861903783,0.673556507835073,1.48465642951647,53547.1861903783,0.673556507835073,1.48465642951647,23283.3442049083,0.31193612208173,0.311650772236928,0,0,0,1,140308.077768832,262468.338344322,113740.059058668
"decLinearProd","5yr_simple","linear",1,"trendER",5,0.3,99916.1839066205,0.462400704632116,96905.2007189407,0.493029201140684,160057.240034783,0.480217147232231,164525.810626687,0.489593668224501,177817.050850891,0.470845805796884,166800.185394824,0.495620148040696,77781.4248657612,48023.7869111074,0.736125377712395,1.35846423758359,48023.7869111074,0.736125377712395,1.35846423758359,21884.9264467284,0.301850411438028,0.296618102151832,1,1,0,1,115448.611421981,251374.334518765,111077.087936978
"decLinearProd","5yr_simple","linear",1,"trendER",6,0.3,114410.473042448,0.367451516407978,111262.333506566,0.376218615220309,168091.392934043,0.416907677148963,142980.783328448,0.594396774693541,153218.634742562,0.581196561163762,165792.863468632,0.431105227471247,65062.6418735904,47793.6589273082,0.764758815673763,1.3076017948469,47793.6589273082,0.764758815673763,1.3076017948469,17567.4627831832,0.273484521271347,0.287311305218441,1,1,0,1,114733.562138574,201845.162948237,99225.3429810605
"decLinearProd","5yr_simple","linear",1,"trendER",7,0.3,130408.443901046,0.531254541897148,126511.345554186,0.548644243669708,195867.623677411,0.55167405478853,181495.981897842,0.639416087767534,191784.557051578,0.611894730972075,195739.602613825,0.564583840183841,75629.4313101511,60604.9577626319,0.697598804371999,1.43348869541173,60604.9577626319,0.697598804371999,1.43348869541173,31607.6327944058,0.34524524938164,0.338595015455661,1,1,0,1,185594.55312147,362021.340710033,105917.561335608
"decLinearProd","5yr_simple","linear",1,"trendER",8,0.3,108574.804236887,0.538107982622338,105197.843429457,0.541922952023859,173230.385932968,0.512945839867723,152955.131305802,0.585932932174835,161521.964035371,0.515119253276248,161977.830542364,0.507351422594868,92515.3207493361,51866.6259227545,0.763197128656653,1.31027746626898,51866.6259227545,0.763197128656653,1.31027746626898,32137.8141899908,0.290228066659265,0.293369116456506,0,1,0,1,118892.138520247,215487.4470052,90646.9787311203
"decLinearProd","5yr_simple","linear",1,"trendER",9,0.3,114809.475917849,0.441888729802284,110109.894888794,0.445383135475359,174204.422154897,0.458732351938132,137274.17430702,0.683817426984168,145989.484092988,0.658411456768197,165072.229685578,0.462994703301372,72156.9886043513,48311.5054632383,0.668200047988439,1.49655780931237,48311.5054632383,0.668200047988439,1.49655780931237,25098.5588192468,0.319005564166058,0.330225593055609,1,1,0,1,124652.457639327,245683.543138732,91712.8205517391
"decLinearProd","5yr_simple","linear",1,"trendER",10,0.3,103652.206902589,0.434350292913523,103171.251501038,0.448078486334731,161269.84496546,0.468255708628501,137072.547353182,0.593702407893288,143722.846871703,0.57572705861877,155166.460073965,0.476379967035726,70848.0923674691,53903.3175494357,0.619488150600144,1.61423588010719,53903.3175494357,0.619488150600144,1.61423588010719,25499.0595621753,0.298466396036445,0.309467419150436,0,1,0,1,124533.182601806,211362.818359235,67141.4752741854
