"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"decLinearcap0.5","10yr_autocorr","linear",1,"trendER",1,0.6,79754.0005955248,0.605943154684215,79400.4660126414,0.693556753026061,193555.341906404,0.440343144456038,165494.94367912,0.559612051024939,186184.703621279,0.524209959281365,194953.451057938,0.467437663103046,55888.1021500701,116369.681773553,0.471129203623303,2.12255999481527,116369.681774553,0.471129203619501,2.1225599948324,95227.5017037463,0.59973567843832,0.596555447183097,0,1,0,1,87620.1644220883,220426.591992503,121023.803704158
"decLinearcap0.5","10yr_autocorr","linear",1,"trendER",2,0.6,71087.4119354684,0.509429650567133,70136.5607990123,0.523324014822743,183199.712328767,0.381830649809343,165801.898293934,0.550208574041377,173408.977327736,0.528126753617362,185138.201211407,0.381138043881102,58905.8351598039,110817.663271948,0.419435664234341,2.38415586768343,110817.663272948,0.419435664230488,2.38415586770533,84430.2478061512,0.596986751277702,0.604400218697443,0,1,0,1,90882.6719335055,211044.175088317,118419.209239954
"decLinearcap0.5","10yr_autocorr","linear",1,"trendER",3,0.6,85711.3413059467,0.460257344165109,79638.7627268489,0.485880968382102,202564.605895754,0.35153773704899,169054.285683507,0.586434591974106,173012.945918641,0.566886296073156,206461.108569343,0.35723796788941,67984.4262085696,114247.235838157,0.394618546608338,2.5340927551297,114247.235839157,0.394618546605115,2.5340927551504,105988.233017834,0.575525923289832,0.592437837023937,0,1,0,1,97955.1399485994,229485.045703372,120457.023888333
"decLinearcap0.5","10yr_autocorr","linear",1,"trendER",4,0.57,64031.758417812,0.612044583619472,63513.8840583268,0.650770437118027,177759.958535857,0.476353272428017,168649.505582401,0.604670781544346,185813.976646205,0.572394353705892,174645.11630139,0.484828722806654,45351.7835317945,95576.1999446855,0.539015295203267,1.85523492357094,95576.1999456855,0.539015295198457,1.85523492358749,74042.1768205159,0.568003779491184,0.561251768234003,0,1,0,1,102589.004156408,237461.212257554,126662.546098556
"decLinearcap0.5","10yr_autocorr","linear",1,"trendER",5,0.57,63651.2628173803,0.51883488894402,61922.689111899,0.525124728197543,162177.623144636,0.4061654072345,170820.840120808,0.439910993190983,183717.892064682,0.439920105799654,154593.105606936,0.414233888865137,48053.8136254535,92587.4545915385,0.464927609646211,2.15087247832185,92587.4545925385,0.464927609641721,2.15087247834262,83248.559530956,0.599306796818597,0.590784577004372,0,1,0,1,102636.529828829,214568.320991071,101783.782059347
