"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"decLinearProd2to1","5yr_autocorr","linear",1,"trendER",1,0.684,43935.5762262071,1.1641100840112,44220.9134626815,1.29772054097192,236544.463888682,0.73658287539696,170638.672921258,0.881265063556316,201079.489671234,0.794301077275552,233786.510295151,0.758586819944189,16632.2026683607,159390.933975827,0.725865481266032,1.377665732576,159390.933976827,0.725865481262139,1.37766573258339,61295.7534126067,0.742618943037426,0.733111933077508,0,0,0,1,107017.047007487,334382.344341222,216686.697050105
"decLinearProd2to1","5yr_autocorr","linear",1,"trendER",2,0.684,54656.6444367013,0.88359599889865,57681.4394368962,0.902296356351244,239156.490633836,0.61408589077827,195496.16947687,0.760832299324957,230977.50149411,0.672685328146521,236318.449598224,0.615440724981977,22972.786578585,162654.44082693,0.639102883240322,1.56469330091251,162654.44082793,0.63910288323642,1.56469330092206,47782.7347601602,0.704228234411602,0.70289826146649,0,0,0,1,107823.132834517,350210.577671334,238422.815008777
"decLinearProd2to1","5yr_autocorr","linear",1,"trendER",3,0.72,72179.9011506056,0.762644868790364,74237.6993718897,0.783133122809243,290159.398253129,0.60015337931222,182665.837773414,0.850263114950849,206188.262202185,0.768039855929271,289180.751370313,0.600587127781247,27191.2495755624,183709.770023286,0.619868593151869,1.61324514751629,183709.770024286,0.61986859314866,1.61324514752464,68439.6154141369,0.693956283345529,0.701941513129712,0,0,0,1,122959.147292541,419903.115452105,263736.65416462
"decLinearProd2to1","5yr_autocorr","linear",1,"trendER",4,0.684,59692.2464401569,1.0334998495461,58901.0416031979,1.08166646928793,250460.393049801,0.788370291915855,162879.24073237,1.00284458571236,208972.273323778,0.902037600072918,250862.736997505,0.794695980376337,14058.0292417403,164798.830238036,0.846631395020234,1.1811515682998,164798.830239036,0.84663139501528,1.18115156830672,30999.5419536033,0.685669617014474,0.689478599711942,0,0,0,1,122182.882810667,426092.088323046,244123.343866825
"decLinearProd2to1","5yr_autocorr","linear",1,"trendER",5,0.684,58481.8982300271,0.879692312249732,59743.7846418489,0.885829727480952,201981.129606128,0.68049519648066,218801.479108003,0.763851293832431,234218.3367522,0.662761498365346,199618.000636989,0.688362588815934,13914.082840889,136551.33097722,0.751439300970087,1.33077947707689,136551.33097822,0.751439300965463,1.33077947708508,40213.6524866094,0.717855571263247,0.706946346271506,0,0,0,1,138799.868758386,340444.207557516,216903.889474273
