"year","iteration","sAg","ppnCUsLowerBM"
1,"1",289017.341040462,NA
1,"2",289017.341040462,NA
1,"3",289017.341040462,NA
1,"4",289017.341040462,NA
1,"5",289017.341040462,NA
2,"1",289017.341040462,NA
2,"2",289017.341040462,NA
2,"3",289017.341040462,NA
2,"4",289017.341040462,NA
2,"5",289017.341040462,NA
3,"1",289017.341040462,NA
3,"2",289017.341040462,NA
3,"3",289017.341040462,NA
3,"4",289017.341040462,NA
3,"5",289017.341040462,NA
4,"1",289017.341040462,NA
4,"2",289017.341040462,NA
4,"3",289017.341040462,NA
4,"4",289017.341040462,NA
4,"5",289017.341040462,NA
5,"1",289017.341040462,NA
5,"2",289017.341040462,NA
5,"3",289017.341040462,NA
5,"4",289017.341040462,NA
5,"5",289017.341040462,NA
6,"1",289017.341040462,NA
6,"2",289017.341040462,NA
6,"3",289017.341040462,NA
6,"4",289017.341040462,NA
6,"5",289017.341040462,NA
7,"1",50404.73300011,NA
7,"2",61327.5064809183,NA
7,"3",52149.0879968743,NA
7,"4",70894.4426708004,NA
7,"5",43969.4930622258,NA
8,"1",66852.3597432582,NA
8,"2",88492.2781083796,NA
8,"3",86186.1727248979,NA
8,"4",129350.799653314,NA
8,"5",65267.0246602801,NA
9,"1",64915.2688259673,NA
9,"2",91120.569688587,NA
9,"3",117990.450303085,NA
9,"4",121750.874152015,NA
9,"5",81245.674573229,NA
10,"1",71076.4220391223,NA
10,"2",94145.6942271209,NA
10,"3",146030.936638131,NA
10,"4",65969.1438239441,NA
10,"5",64893.633375923,NA
11,"1",146133.772499091,NA
11,"2",80943.6378465531,NA
11,"3",219532.199231205,NA
11,"4",90195.5983571214,NA
11,"5",64370.0229088615,NA
12,"1",108035.043983302,NA
12,"2",152940.001685314,NA
12,"3",98494.6345229211,NA
12,"4",66777.0846793959,NA
12,"5",112653.687771265,NA
13,"1",90087.063807884,NA
13,"2",136080.512501178,NA
13,"3",110397.573538551,NA
13,"4",83708.1909172919,NA
13,"5",63969.9321333191,NA
14,"1",131682.156397198,NA
14,"2",181617.198216136,NA
14,"3",212942.807773946,NA
14,"4",72798.6500696313,NA
14,"5",108515.737558648,NA
15,"1",100185.863004488,NA
15,"2",93203.9500740461,NA
15,"3",91163.3191832991,NA
15,"4",104502.292435861,NA
15,"5",132834.321249527,NA
16,"1",111759.82526195,NA
16,"2",120116.73671712,NA
16,"3",162936.595689225,NA
16,"4",67748.0432050717,NA
16,"5",69804.4402734015,NA
17,"1",64959.1039310016,NA
17,"2",90413.4118064729,NA
17,"3",68396.7477150916,NA
17,"4",89423.275181088,NA
17,"5",173340.966611892,NA
18,"1",75892.7515672214,NA
18,"2",176198.991511146,NA
18,"3",75014.0060095081,NA
18,"4",90141.8405806983,NA
18,"5",88812.114731913,NA
19,"1",149605.744246926,NA
19,"2",137237.834741534,NA
19,"3",35192.9532707131,NA
19,"4",162178.938430679,NA
19,"5",153132.550947294,NA
20,"1",145951.756801431,NA
20,"2",80432.2981365148,NA
20,"3",83886.8669457042,NA
20,"4",147955.686502208,NA
20,"5",148133.285732267,NA
21,"1",109986.926575158,NA
21,"2",122238.198873361,NA
21,"3",45048.3743321381,NA
21,"4",137946.147830249,NA
21,"5",142985.60841877,NA
22,"1",65895.8138647235,NA
22,"2",113504.393940296,NA
22,"3",84536.5295650687,NA
22,"4",76139.2229903317,NA
22,"5",91634.6163277775,NA
23,"1",94552.3899700488,NA
23,"2",130282.821922363,NA
23,"3",83617.0389983772,NA
23,"4",42543.4338503981,NA
23,"5",210123.877738949,NA
24,"1",123493.653273196,NA
24,"2",112559.799125623,NA
24,"3",137225.985836905,NA
24,"4",52235.3966375073,NA
24,"5",228082.159500626,NA
25,"1",73552.63765143,NA
25,"2",69541.3696413671,NA
25,"3",69385.5570257307,NA
25,"4",69646.7095329482,NA
25,"5",184733.86160373,NA
26,"1",67570.480125115,NA
26,"2",82014.5237382386,NA
26,"3",158570.751384588,NA
26,"4",78407.0685700977,NA
26,"5",130073.009438762,NA
27,"1",74318.6562644412,NA
27,"2",91118.699672766,NA
27,"3",104064.717312111,NA
27,"4",81435.3155086044,NA
27,"5",204757.717835154,NA
28,"1",89046.9324179668,NA
28,"2",119626.657900389,NA
28,"3",103105.213801461,NA
28,"4",96442.3798998692,NA
28,"5",227794.668025881,NA
29,"1",91370.0182264376,NA
29,"2",103384.666270274,NA
29,"3",136730.542985174,NA
29,"4",97899.9577596927,NA
29,"5",169167.818296628,NA
30,"1",37456.4938045173,NA
30,"2",177873.766634494,NA
30,"3",179145.041089388,NA
30,"4",128161.324526801,NA
30,"5",101251.832956386,NA
31,"1",102861.300351403,NA
31,"2",129723.155565358,NA
31,"3",102625.145805805,NA
31,"4",50109.2063904489,NA
31,"5",68980.4017552049,NA
32,"1",85319.8910063117,NA
32,"2",133836.629503218,NA
32,"3",129044.329276474,NA
32,"4",44857.3682911315,NA
32,"5",64249.4671743171,NA
33,"1",139571.268244868,NA
33,"2",117923.621828884,NA
33,"3",99356.6704514583,NA
33,"4",113505.67277397,NA
33,"5",111283.361759824,NA
34,"1",100327.084830735,NA
34,"2",140779.816160443,NA
34,"3",100539.198639261,NA
34,"4",36254.8821405326,NA
34,"5",245994.97731297,NA
35,"1",89872.6415899058,NA
35,"2",110837.068531335,NA
35,"3",82853.9354222014,NA
35,"4",44771.6903398906,NA
35,"5",78116.9705887627,NA
36,"1",162546.055362778,NA
36,"2",87252.312889894,NA
36,"3",108101.580028215,NA
36,"4",67477.9846754068,NA
36,"5",67164.5125365898,NA
37,"1",81919.6503884278,NA
37,"2",85069.930164708,NA
37,"3",81502.1519496893,NA
37,"4",42684.7810449593,NA
37,"5",53713.0645797675,NA
38,"1",83559.2874384001,NA
38,"2",204576.511740146,NA
38,"3",100655.099991348,NA
38,"4",50440.5070416157,NA
38,"5",215296.407803924,NA
39,"1",165063.661279161,NA
39,"2",115046.485694249,NA
39,"3",91197.9196713844,NA
39,"4",53743.4774385684,NA
39,"5",109312.309313046,NA
40,"1",69517.0153262131,NA
40,"2",144843.051282567,NA
40,"3",108843.450413193,NA
40,"4",127139.509934254,NA
40,"5",81823.1719555253,NA
41,"1",45624.3833003042,NA
41,"2",166102.939084432,NA
41,"3",105125.777731341,NA
41,"4",80398.6308351561,NA
41,"5",161774.827116318,NA
42,"1",110599.75139582,NA
42,"2",120188.243152527,NA
42,"3",84185.6329544231,NA
42,"4",51267.0328606878,NA
42,"5",93671.8141213715,NA
43,"1",65645.861163054,NA
43,"2",108502.887601655,NA
43,"3",155742.842939352,NA
43,"4",102316.891684103,NA
43,"5",110905.316121028,NA
44,"1",90830.7348815934,NA
44,"2",130437.124949722,NA
44,"3",127262.753925803,NA
44,"4",56287.52898365,NA
44,"5",119279.835308923,NA
45,"1",110230.838756689,NA
45,"2",237491.209044724,NA
45,"3",92870.3937660244,NA
45,"4",126353.622787432,NA
45,"5",71849.455813844,NA
46,"1",93964.7359272431,NA
46,"2",114423.892908937,NA
46,"3",103192.721111523,NA
46,"4",182519.438929076,NA
46,"5",90411.0730472133,NA
47,"1",68320.3025910985,NA
47,"2",120094.887784937,NA
47,"3",75496.6859814063,NA
47,"4",247245.610436981,NA
47,"5",59201.5912849067,NA
48,"1",77848.0045573376,NA
48,"2",127240.036176797,NA
48,"3",134202.733949704,NA
48,"4",150515.217178971,NA
48,"5",90689.5408854772,NA
49,"1",125703.044644668,NA
49,"2",50158.6280085329,NA
49,"3",145791.081702786,NA
49,"4",70808.0141931896,NA
49,"5",89031.9182415983,NA
50,"1",131789.137603755,NA
50,"2",83112.0679010191,NA
50,"3",78807.4275010991,NA
50,"4",78132.0184410387,NA
50,"5",85578.5595853851,NA
51,"1",212950.436698065,1
51,"2",70713.3025605329,1
51,"3",170552.038546883,1
51,"4",23573.7542944847,1
51,"5",141285.34115736,1
52,"1",570745.988800617,1
52,"2",163449.806765589,1
52,"3",133240.452794836,1
52,"4",184256.452375631,1
52,"5",113514.249679868,1
53,"1",107017.047007487,1
53,"2",292211.630942758,1
53,"3",99647.2171664359,1
53,"4",112661.238736203,1
53,"5",183657.344348266,1
54,"1",92999.4768084559,1
54,"2",327949.264308908,1
54,"3",55782.7668554699,1
54,"4",119186.35556984,1
54,"5",78045.5813198921,1
55,"1",90978.4205601119,1
55,"2",110246.944008197,1
55,"3",97288.8755654903,1
55,"4",84534.4898910226,1
55,"5",138799.868758386,1
56,"1",23099.5525465515,1
56,"2",99228.7756182228,1
56,"3",159271.119510268,1
56,"4",250642.252098846,1
56,"5",315617.053763395,1
57,"1",83397.4287601632,1
57,"2",105460.961476629,1
57,"3",117909.696632246,1
57,"4",225263.342403515,1
57,"5",87941.0342420621,1
58,"1",39964.7476579571,1
58,"2",111197.194168918,1
58,"3",156166.461287485,1
58,"4",144365.254964945,1
58,"5",175537.877473718,1
59,"1",111197.459516992,1
59,"2",48631.9531045215,1
59,"3",38825.8761622661,1
59,"4",128322.197803117,1
59,"5",56997.1239979844,1
60,"1",135377.832665309,1
60,"2",186506.059568692,1
60,"3",201593.942795298,1
60,"4",97916.5725744457,1
60,"5",204297.080521105,1
61,"1",70619.6013898042,1
61,"2",107823.132834517,1
61,"3",72643.8265735294,1
61,"4",324505.403102095,1
61,"5",77334.7684390952,1
62,"1",110700.846007878,1
62,"2",58545.2686260369,1
62,"3",314791.212596334,1
62,"4",93818.8938458434,1
62,"5",169808.053709571,1
63,"1",183953.918305746,1
