"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"decLinearcap0.5","5yr_autocorr","linear",1,"trendER",1,0.6,78866.1588096573,0.604996331073765,79400.4660126414,0.692664610334067,193555.341906404,0.440100782310285,165494.94367912,0.559176310107925,186194.054060954,0.524231859649924,194953.451057938,0.46718970037428,55875.5895423312,116369.681773553,0.471240251670412,2.1220598122832,116369.681774553,0.471240251666609,2.12205981230032,95773.4328343998,0.59973567843832,0.596555447183097,0,1,0,1,87620.1644220883,220426.591992503,121023.803704158
"decLinearcap0.5","5yr_autocorr","linear",1,"trendER",2,0.6,71084.1148533612,0.510180287280402,70133.3089787082,0.523310473791475,182434.027904998,0.382379183890385,165786.329509743,0.550332211147662,173391.910115368,0.528272139450531,185131.78450392,0.381544925015219,58905.8469546486,110557.598692948,0.420172271942478,2.37997618304737,110557.598693948,0.420172271938619,2.37997618306923,84430.2532997433,0.596986751277702,0.607075050345841,0,1,0,1,90882.6719335055,211044.175088317,118419.209239954
"decLinearcap0.5","5yr_autocorr","linear",1,"trendER",3,0.6,85202.8359608378,0.45955810663503,79259.5578711906,0.486530296594074,202539.644563052,0.349572641258009,169053.494329929,0.583415795983207,173009.763157512,0.564581415180368,206425.638744331,0.355972683376938,67984.0167357555,114246.885245219,0.391315888392218,2.55548018790817,114246.885246219,0.391315888389021,2.55548018792906,105988.171405816,0.577285279849945,0.592437837023937,0,1,0,1,97955.1399485994,229485.045703372,120457.023888333
"decLinearcap0.5","5yr_autocorr","linear",1,"trendER",4,0.57,64041.3576782399,0.610455998727787,63517.7543302076,0.648747189968052,177763.982353541,0.477237973465515,168468.651122538,0.60654472740682,185803.912020008,0.572328156263622,174649.165719135,0.485599814247721,45352.2220568122,95572.2588471525,0.541241073105303,1.84760553049425,95572.2588481525,0.541241073100485,1.8476055305107,75661.1369747952,0.568003779491184,0.561251768233976,0,1,0,1,103162.672293299,237730.893119705,127370.83123527
"decLinearcap0.5","5yr_autocorr","linear",1,"trendER",5,0.57,63651.2480523045,0.520132585607246,61915.710588697,0.526105325266945,162146.337681867,0.405101156892933,170607.054162952,0.440140036407736,183717.878817382,0.440160455296742,154580.572224379,0.413008013319768,48053.8180171006,92587.4545915385,0.462784705599865,2.16083199790233,92587.4545925385,0.462784705595393,2.16083199792321,83248.5627742283,0.599306796818597,0.590784577004372,0,1,0,1,101212.009520979,210445.631929527,107120.940560514
