"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"stationarywAR1","10yr_rwa","linear",1,"trendER",1,0.6,109506.770310553,0.634871793977377,109766.067242378,0.731787767769104,257595.56790789,0.482747526095011,221939.832670221,0.572624874597677,243900.046705828,0.575433808744403,269195.914480722,0.510477970493516,107133.909922165,154738.011567657,0.524969449916794,1.90487275051624,154738.011568657,0.524969449913834,1.90487275052698,170440.400735259,0.59973567843832,0.596555447182819,0,1,0,1,113496.282434746,253078.922009764,144273.116459606
"stationarywAR1","10yr_rwa","linear",1,"trendER",2,0.6,97330.6091347265,0.495716216012857,91974.8421523955,0.493996108319153,226194.342946599,0.387273771862629,222310.272581453,0.510705207284141,233568.470948224,0.495594597398127,232928.187297853,0.380826650823683,79319.3552007459,124271.866191881,0.446727124254427,2.23850298248392,124271.866192881,0.446727124251166,2.23850298250026,128372.044035547,0.596986751277702,0.607075050345514,0,1,0,1,97870.7140582508,227437.578238862,122233.129481545
"stationarywAR1","10yr_rwa","linear",1,"trendER",3,0.6,109044.603364755,0.49721139543224,100670.232609506,0.528258664053799,298662.85978894,0.398183872101418,279971.688541279,0.530216970169196,284904.730666535,0.521850097457676,304216.164912803,0.405791037589883,122135.625821366,163138.236510918,0.483246568136683,2.06933699261607,163138.236511918,0.483246568133771,2.06933699262854,207899.108763892,0.575525923289832,0.592437837023256,0,1,0,1,84569.4573821554,181251.366387096,93235.6497165737
"stationarywAR1","10yr_rwa","linear",1,"trendER",4,0.6,77316.4901070431,0.709295457787269,78529.8473563541,0.749969098421807,213345.114526338,0.535846257294191,189619.270401885,0.644287812227098,200350.547679716,0.610038309544938,212950.832445041,0.542108644929654,56657.5076727991,128745.337894433,0.607396851109446,1.64637007612641,128745.337895433,0.607396851105163,1.64637007613802,103145.810747591,0.569025367359135,0.561251768233993,0,0,0,1,115583.042256576,321058.932354389,145721.803350177
"stationarywAR1","10yr_rwa","linear",1,"trendER",5,0.6,78898.356493105,0.520362405930629,77122.1589051742,0.529063085382667,204560.316605621,0.416590567150526,221578.713901843,0.442897603169991,227174.367489518,0.456703205143589,200114.555068239,0.425040129413675,72953.4708463221,115804.675490388,0.486041882193634,2.0574358643472,115804.675491388,0.48604188218995,2.0574358643628,138647.648520471,0.607237585576121,0.604617688638938,0,1,0,1,83094.3906011299,223068.656095028,107264.024769559
