scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,finalCanER,ERStartYear,EREndYear,usER,propMixHigh,singleHCR,moveTAC,prodRegime,prodPpnChange,prodTrendLength,prodStartYear,prodEndYear,prodRegimeLen,ampSinProd,sinCycleLen,capRegime,capPpnChange,capTrendLength,capStartYear,capEndYear,capRegimeLen,sigRegime,sigShiftYear,rho,arSigTransform,biasCor,correlCU,corrMat,sampCU_coef1,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,agePpnConst,rCap,assessType,assessFreq,bmERAdj,redStatusER,normPeriod,infBetaPrior,fERAdj,HCRtype,fixedLowerBenchmark,fixedUpperBenchmark
decLinearProd2to1.5_5yr_both_adaptER,decLinearProd2to1.5,5yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,0.75,40,10,30,NA,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,both,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearcap0.25_10yr_autocorr_adaptER,decLinearcap0.25,10yr_autocorr_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1,40,10,30,NA,NA,NA,linear,0.25,40,10,30,linear,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,autocorr,10,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearcap0.25_5yr_autocorr_adaptER,decLinearcap0.25,5yr_autocorr_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1,40,10,30,NA,NA,NA,linear,0.25,40,10,30,linear,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,autocorr,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearcap0.25_10yr_rwa_adaptER,decLinearcap0.25,10yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1,40,10,30,NA,NA,NA,linear,0.25,40,10,30,linear,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,rwa,10,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearcap0.25_5yr_rwa_adaptER,decLinearcap0.25,5yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1,40,10,30,NA,NA,NA,linear,0.25,40,10,30,linear,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,rwa,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearcap0.25_10yr_both_adaptER,decLinearcap0.25,10yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1,40,10,30,NA,NA,NA,linear,0.25,40,10,30,linear,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,both,10,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearcap0.25_5yr_both_adaptER,decLinearcap0.25,5yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1,40,10,30,NA,NA,NA,linear,0.25,40,10,30,linear,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,both,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearcap0.50_10yr_autocorr_adaptER,decLinearcap0.50,10yr_autocorr_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1,40,10,30,NA,NA,NA,linear,0.5,40,10,30,linear,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,autocorr,10,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearcap0.50_5yr_autocorr_adaptER,decLinearcap0.50,5yr_autocorr_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1,40,10,30,NA,NA,NA,linear,0.5,40,10,30,linear,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,autocorr,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearcap0.50_10yr_rwa_adaptER,decLinearcap0.50,10yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1,40,10,30,NA,NA,NA,linear,0.5,40,10,30,linear,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,rwa,10,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearcap0.50_5yr_rwa_adaptER,decLinearcap0.50,5yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1,40,10,30,NA,NA,NA,linear,0.5,40,10,30,linear,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,rwa,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearcap0.50_10yr_both_adaptER,decLinearcap0.50,10yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1,40,10,30,NA,NA,NA,linear,0.5,40,10,30,linear,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,both,10,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearcap0.50_5yr_both_adaptER,decLinearcap0.50,5yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1,40,10,30,NA,NA,NA,linear,0.5,40,10,30,linear,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,both,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearProd2to1_10yr_autocorr_adaptER,decLinearProd2to1,10yr_autocorr_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,0.5,40,10,30,NA,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,autocorr,10,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearProd2to1_5yr_autocorr_adaptER,decLinearProd2to1,5yr_autocorr_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,0.5,40,10,30,NA,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,autocorr,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearProd2to1_10yr_rwa_adaptER,decLinearProd2to1,10yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,0.5,40,10,30,NA,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,rwa,10,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearProd2to1_5yr_rwa_adaptER,decLinearProd2to1,5yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,0.5,40,10,30,NA,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,rwa,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearProd2to1_10yr_both_adaptER,decLinearProd2to1,10yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,0.5,40,10,30,NA,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,both,10,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearProd2to1_5yr_both_adaptER,decLinearProd2to1,5yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,0.5,40,10,30,NA,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,both,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearProd2to0.5_10yr_autocorr_adaptER,decLinearProd2to0.5,10yr_autocorr_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,0.25,40,10,30,NA,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,autocorr,10,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearProd2to0.5_5yr_autocorr_adaptER,decLinearProd2to0.5,5yr_autocorr_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,0.25,40,10,30,NA,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,autocorr,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearProd2to0.5_10yr_rwa_adaptER,decLinearProd2to0.5,10yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,0.25,40,10,30,NA,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,rwa,10,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearProd2to0.5_5yr_rwa_adaptER,decLinearProd2to0.5,5yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,0.25,40,10,30,NA,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,rwa,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearProd2to0.5_10yr_both_adaptER,decLinearProd2to0.5,10yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,0.25,40,10,30,NA,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,both,10,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
decLinearProd2to0.5_5yr_both_adaptER,decLinearProd2to0.5,5yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,0.25,40,10,30,NA,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,both,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
incLinearProd2to3_10yr_autocorr_adaptER,incLinearProd2to3,10yr_autocorr_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1.5,40,10,30,NA,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,autocorr,10,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
incLinearProd2to3_5yr_autocorr_adaptER,incLinearProd2to3,5yr_autocorr_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1.5,40,10,30,NA,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,autocorr,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
incLinearProd2to3_10yr_rwa_adaptER,incLinearProd2to3,10yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1.5,40,10,30,NA,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,rwa,10,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
incLinearProd2to3_5yr_rwa_adaptER,incLinearProd2to3,5yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1.5,40,10,30,NA,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,rwa,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
incLinearProd2to3_10yr_both_adaptER,incLinearProd2to3,10yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1.5,40,10,30,NA,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,both,10,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
incLinearProd2to3_5yr_both_adaptER,incLinearProd2to3,5yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1.5,40,10,30,NA,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,both,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
incLinearcap1.5_10yr_autocorr_adaptER,incLinearcap1.5,10yr_autocorr_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1,40,10,30,NA,NA,NA,linear,1.5,40,10,30,linear,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,autocorr,10,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
incLinearcap1.5_5yr_autocorr_adaptER,incLinearcap1.5,5yr_autocorr_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1,40,10,30,NA,NA,NA,linear,1.5,40,10,30,linear,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,autocorr,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
incLinearcap1.5_10yr_rwa_adaptER,incLinearcap1.5,10yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1,40,10,30,NA,NA,NA,linear,1.5,40,10,30,linear,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,rwa,10,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
incLinearcap1.5_5yr_rwa_adaptER,incLinearcap1.5,5yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1,40,10,30,NA,NA,NA,linear,1.5,40,10,30,linear,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,rwa,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
incLinearcap1.5_10yr_both_adaptER,incLinearcap1.5,10yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1,40,10,30,NA,NA,NA,linear,1.5,40,10,30,linear,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,both,10,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
incLinearcap1.5_5yr_both_adaptER,incLinearcap1.5,5yr_rwa_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,linear,1,40,10,30,NA,NA,NA,linear,1.5,40,10,30,linear,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,both,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
regProd2to1_10yr_autocorr_adaptER,regProd2to1,10yr_autocorr_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,regime,0.5,NA,NA,NA,16,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,autocorr,10,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
regProd2to1_5yr_autocorr_adaptER,regProd2to1,5yr_autocorr_adaptER,prodRegime,1,chinook,70,trendER,fixed,0.75,0.75,1,70,0,1,retro,FALSE,regime,0.5,NA,NA,NA,16,NA,NA,linear,1,40,10,30,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3,autocorr,5,0.3,NA,FALSE,TRUE,0.9,both,16000,80000
