"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"decLinearcap0.5","5yr_rwa","linear",1,"trendER",1,0.6,78937.437887761,0.603083997685213,79400.4660126414,0.691573347559605,193555.341906404,0.439554713380529,165523.403468223,0.558209141360759,186201.410036491,0.522738908769649,194953.451057938,0.466593001415265,55877.7230262763,116369.681773553,0.471862164840959,2.11926294267956,116369.681774553,0.471862164837168,2.11926294269659,96183.3113309298,0.59973567843832,0.596555447183097,0,1,0,1,87620.1644220883,220426.591992503,121023.803704158
"decLinearcap0.5","5yr_rwa","linear",1,"trendER",2,0.6,71084.1148533612,0.510180287280402,70133.3089787082,0.523310473791475,182434.027904998,0.382379183890385,165786.329509743,0.550332211147662,173391.910115368,0.528272139450531,185131.78450392,0.381544925015219,58905.8469546486,110557.598692948,0.420172271942478,2.37997618304737,110557.598693948,0.420172271938619,2.37997618306923,84430.2532997433,0.596986751277702,0.607075050345841,0,1,0,1,90882.6719335055,211044.175088317,118419.209239954
"decLinearcap0.5","5yr_rwa","linear",1,"trendER",3,0.6,85202.8359608378,0.45955810663503,79259.5578711906,0.486530296594074,202539.644563052,0.349572641258009,169053.494329929,0.583415795983207,173009.763157512,0.564581415180368,206425.638744331,0.355972683376938,67984.0167357555,114246.885245219,0.391315888392218,2.55548018790817,114246.885246219,0.391315888389021,2.55548018792906,105988.171405816,0.577285279849945,0.592437837023937,0,1,0,1,97955.1399485994,229485.045703372,120457.023888333
"decLinearcap0.5","5yr_rwa","linear",1,"trendER",4,0.57,64041.3802131019,0.611797630186944,63511.2846048531,0.650085315725178,177763.982353541,0.477640794450481,168470.627245599,0.606925451483596,185814.000064478,0.572802099868482,174649.165719135,0.486001027228796,45351.7809446277,95572.2588471525,0.540894454151537,1.84878952321415,95572.2588481525,0.540894454146721,1.84878952323062,75660.6588344617,0.568003779491184,0.561251768234003,0,1,0,1,103162.672293299,237730.893119705,127370.83123527
"decLinearcap0.5","5yr_rwa","linear",1,"trendER",5,0.585,63651.0454002699,0.524357866304754,61895.3069865482,0.530162305301534,162048.059997925,0.405681940513048,170590.139687402,0.441753519540949,183664.377521219,0.441930885256242,154586.912360763,0.413622051077418,47374.3834329015,92587.4545915385,0.460767847212586,2.17029032309762,92587.4545925385,0.460767847208132,2.1702903231186,82868.230664499,0.601342849002213,0.590784577004378,0,1,0,1,100280.634992418,210445.631929527,107120.940560514
