"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"decLinearcap0.25","10yr_rwa","linear",1,"trendER",1,0.6,68302.1206257833,0.659546761265702,74185.1136589678,0.741525987933862,177404.823805853,0.507429190699143,140881.765918786,0.621013387599236,149899.554872631,0.553296360626252,176460.57851319,0.531115527054995,37601.5350671209,98141.7345409987,0.539484521643945,1.85362129937065,98141.7345419987,0.539484521638895,1.853621299388,59764.1351144207,0.59973567843832,0.596555447183097,0,1,0,1,86208.8083749522,212486.859660427,116664.544694004
"decLinearcap0.25","10yr_rwa","linear",1,"trendER",2,0.6,59482.1531605066,0.586729875355954,61134.0657546572,0.601164972156044,165093.49037647,0.454729628331313,145285.22338679,0.594556197682081,151910.482611601,0.544456119462996,159753.53578096,0.455014705885579,38702.6424589191,94879.552965589,0.474293344471473,2.10839981554948,94879.552966589,0.474293344466437,2.10839981557187,58111.1444700167,0.591009297244383,0.592369700964036,0,1,0,1,90006.3635973972,207283.751871873,117277.388274476
"decLinearcap0.25","10yr_rwa","linear",1,"trendER",3,0.6,69740.1099799888,0.510592176580159,71270.5971586625,0.529978176419165,163761.038841263,0.415677471279983,135272.162395965,0.662654029313204,148490.540219565,0.614540492957354,162501.503138192,0.418474954926241,49819.1307684235,89937.3178593399,0.441240211714195,2.26633922623474,89937.3178603399,0.441240211709973,2.26633922625642,72775.9255683783,0.571325917320213,0.592437837024724,0,1,0,1,97402.8781922491,228361.035997563,119867.029609759
"decLinearcap0.25","10yr_rwa","linear",1,"trendER",4,0.57,56143.1241810159,0.665691792207615,57781.9750396637,0.708983704312752,153135.759984368,0.552291196521933,131699.127900029,0.696396376610644,142317.630844863,0.644085202088697,147676.700342059,0.562324689474452,35410.6651396224,89543.8563100332,0.611909245702625,1.63422927014569,89543.8563110332,0.611909245696428,1.63422927016224,48183.9552615836,0.568003779491184,0.561251768234324,0,1,0,1,99299.852228022,233970.326532835,122601.561579015
"decLinearcap0.25","10yr_rwa","linear",1,"trendER",5,0.57,58767.4167639893,0.589051114872494,53833.0053164836,0.599860146871126,133163.260912558,0.485843100163811,138800.047832112,0.513049385427191,155291.103604127,0.487764377498274,129461.499775933,0.495325324233233,34331.5414258269,76811.8063284018,0.534995196256279,1.8691756617586,76811.8063294018,0.534995196250303,1.86917566177948,57673.8781882307,0.597505843609753,0.587750959812716,0,1,0,1,98186.1964556264,206822.965957051,100317.153105148
